Character,Simulation,Avg_Steps,Total_Dead,Total_Cured,Total_Infected,Dead_1,Cured_1,Infected_1,Dead_2,Cured_2,Infected_2,Dead_3,Cured_3,Infected_3,Dead_4,Cured_4,Infected_4,Dead_5,Cured_5,Infected_5,Dead_6,Cured_6,Infected_6,Dead_7,Cured_7,Infected_7,Dead_8,Cured_8,Infected_8,Dead_9,Cured_9,Infected_9,Dead_10,Cured_10,Infected_10,Dead_11,Cured_11,Infected_11,Dead_12,Cured_12,Infected_12,Dead_13,Cured_13,Infected_13,Dead_14,Cured_14,Infected_14,Dead_15,Cured_15,Infected_15,Dead_16,Cured_16,Infected_16,Dead_17,Cured_17,Infected_17,Dead_18,Cured_18,Infected_18,Dead_19,Cured_19,Infected_19,Dead_20,Cured_20,Infected_20,Dead_21,Cured_21,Infected_21,Dead_22,Cured_22,Infected_22,Dead_23,Cured_23,Infected_23,Dead_24,Cured_24,Infected_24,Dead_25,Cured_25,Infected_25,Dead_26,Cured_26,Infected_26,Dead_27,Cured_27,Infected_27,Dead_28,Cured_28,Infected_28,Dead_29,Cured_29,Infected_29,Dead_30,Cured_30,Infected_30,Dead_31,Cured_31,Infected_31,Dead_32,Cured_32,Infected_32,Dead_33,Cured_33,Infected_33,Dead_34,Cured_34,Infected_34,Dead_35,Cured_35,Infected_35,Dead_36,Cured_36,Infected_36,Dead_37,Cured_37,Infected_37,Dead_38,Cured_38,Infected_38,Dead_39,Cured_39,Infected_39,Dead_40,Cured_40,Infected_40,Dead_41,Cured_41,Infected_41,Dead_42,Cured_42,Infected_42,Dead_43,Cured_43,Infected_43,Dead_44,Cured_44,Infected_44,Dead_45,Cured_45,Infected_45,Dead_46,Cured_46,Infected_46,Dead_47,Cured_47,Infected_47,Dead_48,Cured_48,Infected_48,Dead_49,Cured_49,Infected_49,Dead_50,Cured_50,Infected_50,Dead_51,Cured_51,Infected_51,Etichetta,Dead_52,Cured_52,Infected_52,Dead_53,Cured_53,Infected_53,Dead_54,Cured_54,Infected_54,Dead_55,Cured_55,Infected_55,Dead_56,Cured_56,Infected_56,Dead_57,Cured_57,Infected_57
Luton,1,3,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Controllata,,,,,,,,,,,,,,,,,,
Luton,2,3,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Controllata,,,,,,,,,,,,,,,,,,
Lyanna-Mormont,1,35,35,662,885,0,0,1,0,0,1,0,0,1,0,0,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,11.0,0.0,1.0,77.0,0.0,1.0,223.0,0.0,6.0,396.0,2.0,28.0,478.0,3.0,89.0,511.0,5.0,180.0,464.0,10.0,279.0,379.0,13.0,364.0,309.0,23.0,450.0,215.0,28.0,502.0,161.0,30.0,550.0,113.0,32.0,582.0,82.0,32.0,601.0,64.0,33.0,615.0,49.0,33.0,626.0,38.0,34.0,639.0,24.0,34.0,645.0,18.0,35.0,650.0,12.0,35.0,656.0,6.0,35.0,658.0,4.0,35.0,660.0,2.0,35.0,660.0,2.0,35.0,660.0,2.0,35.0,661.0,1.0,35.0,661.0,1.0,35.0,661.0,1.0,35.0,662.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Quasi Sconfitta,,,,,,,,,,,,,,,,,,
Lyanna-Mormont,2,3,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Controllata,,,,,,,,,,,,,,,,,,
Lyn-Corbray,1,33,51,643,896,0,0,1,0,0,2,0,0,15,0,0,83,0.0,2.0,236.0,0.0,8.0,422.0,1.0,31.0,497.0,2.0,85.0,508.0,7.0,180.0,456.0,16.0,281.0,366.0,25.0,377.0,275.0,31.0,453.0,199.0,35.0,513.0,139.0,36.0,550.0,104.0,42.0,565.0,86.0,43.0,597.0,53.0,45.0,609.0,39.0,47.0,621.0,26.0,49.0,628.0,17.0,49.0,635.0,10.0,49.0,637.0,8.0,51.0,640.0,3.0,51.0,642.0,1.0,51.0,642.0,1.0,51.0,642.0,1.0,51.0,642.0,1.0,51.0,642.0,1.0,51.0,642.0,1.0,51.0,642.0,1.0,51.0,642.0,1.0,51.0,642.0,1.0,51.0,642.0,1.0,51.0,642.0,1.0,51.0,643.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Arginata con Perdite,,,,,,,,,,,,,,,,,,
Lyn-Corbray,2,30,49,637,899,0,0,1,0,0,3,0,0,13,0,0,89,0.0,2.0,230.0,1.0,7.0,377.0,2.0,29.0,473.0,7.0,83.0,480.0,17.0,174.0,428.0,20.0,273.0,355.0,28.0,347.0,286.0,35.0,419.0,217.0,37.0,488.0,153.0,39.0,533.0,110.0,41.0,567.0,74.0,44.0,583.0,57.0,46.0,596.0,43.0,46.0,607.0,32.0,46.0,611.0,29.0,46.0,621.0,19.0,48.0,625.0,13.0,49.0,629.0,8.0,49.0,631.0,6.0,49.0,634.0,3.0,49.0,634.0,3.0,49.0,635.0,2.0,49.0,635.0,2.0,49.0,635.0,2.0,49.0,636.0,1.0,49.0,636.0,1.0,49.0,637.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Arginata con Perdite,,,,,,,,,,,,,,,,,,
Lyonel-Corbray,1,25,42,655,903,0,0,1,0,0,1,0,0,3,0,1,8,0.0,1.0,35.0,0.0,2.0,176.0,0.0,3.0,353.0,0.0,9.0,486.0,4.0,62.0,520.0,8.0,141.0,495.0,10.0,234.0,423.0,23.0,330.0,329.0,28.0,406.0,254.0,31.0,487.0,173.0,35.0,541.0,118.0,36.0,582.0,78.0,39.0,609.0,48.0,39.0,625.0,33.0,41.0,632.0,24.0,42.0,641.0,14.0,42.0,644.0,11.0,42.0,647.0,8.0,42.0,650.0,5.0,42.0,651.0,4.0,42.0,653.0,2.0,42.0,655.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Arginata con Perdite,,,,,,,,,,,,,,,,,,
Lyonel-Corbray,2,26,52,650,897,0,0,1,0,0,1,0,0,1,0,0,1,0.0,0.0,2.0,0.0,1.0,17.0,0.0,1.0,88.0,0.0,1.0,264.0,0.0,7.0,430.0,1.0,34.0,521.0,10.0,92.0,520.0,18.0,183.0,463.0,25.0,285.0,367.0,31.0,370.0,288.0,38.0,444.0,211.0,44.0,511.0,142.0,44.0,551.0,104.0,49.0,578.0,73.0,50.0,597.0,54.0,50.0,617.0,35.0,50.0,631.0,21.0,51.0,635.0,16.0,52.0,642.0,8.0,52.0,645.0,5.0,52.0,646.0,4.0,52.0,649.0,1.0,52.0,650.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Arginata con Perdite,,,,,,,,,,,,,,,,,,
Malaquo-Maegyr,1,3,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Controllata,,,,,,,,,,,,,,,,,,
Malaquo-Maegyr,2,7,0,2,2,0,0,1,0,0,2,0,0,2,0,0,2,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Controllata,,,,,,,,,,,,,,,,,,
Mallador-Locke,1,4,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Controllata,,,,,,,,,,,,,,,,,,
Mallador-Locke,2,29,45,665,915,0,0,1,0,0,1,0,0,1,0,0,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,4.0,0.0,1.0,7.0,0.0,1.0,13.0,0.0,1.0,39.0,0.0,2.0,132.0,0.0,4.0,304.0,1.0,19.0,446.0,4.0,59.0,493.0,6.0,144.0,478.0,9.0,231.0,417.0,18.0,329.0,332.0,23.0,421.0,247.0,29.0,492.0,177.0,35.0,540.0,131.0,38.0,578.0,92.0,39.0,599.0,70.0,40.0,621.0,49.0,41.0,637.0,32.0,42.0,645.0,23.0,44.0,648.0,18.0,45.0,655.0,10.0,45.0,659.0,6.0,45.0,662.0,3.0,45.0,665.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Arginata con Perdite,,,,,,,,,,,,,,,,,,
Manfrey-Martell,1,17,0,2,2,0,0,1,0,0,1,0,0,1,0,0,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Controllata,,,,,,,,,,,,,,,,,,
Manfrey-Martell,2,4,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Controllata,,,,,,,,,,,,,,,,,,
Martyn-Lannister,1,31,45,648,905,0,0,1,0,0,2,0,0,7,0,0,35,0.0,1.0,120.0,0.0,3.0,276.0,0.0,11.0,419.0,1.0,49.0,483.0,7.0,121.0,473.0,17.0,216.0,403.0,19.0,303.0,338.0,23.0,376.0,275.0,30.0,442.0,211.0,31.0,500.0,155.0,36.0,531.0,121.0,37.0,572.0,79.0,39.0,600.0,51.0,42.0,615.0,34.0,44.0,626.0,21.0,44.0,630.0,17.0,44.0,636.0,13.0,44.0,639.0,10.0,44.0,642.0,7.0,44.0,645.0,4.0,44.0,646.0,3.0,44.0,647.0,2.0,44.0,647.0,2.0,44.0,648.0,1.0,44.0,648.0,1.0,44.0,648.0,1.0,44.0,648.0,1.0,45.0,648.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Arginata con Perdite,,,,,,,,,,,,,,,,,,
Martyn-Lannister,2,30,53,655,925,0,0,1,0,0,1,0,0,1,0,0,2,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,13.0,0.0,1.0,100.0,0.0,1.0,273.0,1.0,3.0,435.0,1.0,28.0,521.0,6.0,106.0,501.0,12.0,201.0,434.0,19.0,293.0,354.0,21.0,373.0,286.0,32.0,455.0,204.0,40.0,509.0,145.0,47.0,540.0,113.0,47.0,569.0,88.0,47.0,591.0,68.0,48.0,605.0,54.0,48.0,618.0,42.0,49.0,628.0,31.0,50.0,641.0,17.0,51.0,647.0,10.0,52.0,649.0,7.0,52.0,650.0,6.0,53.0,652.0,3.0,53.0,653.0,2.0,53.0,654.0,1.0,53.0,655.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Arginata con Perdite,,,,,,,,,,,,,,,,,,
Martyn-Rivers,1,3,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Controllata,,,,,,,,,,,,,,,,,,
Martyn-Rivers,2,32,34,660,849,0,0,1,0,0,2,0,0,22,0,0,126,0.0,0.0,328.0,0.0,7.0,483.0,1.0,50.0,510.0,4.0,139.0,473.0,12.0,240.0,392.0,16.0,351.0,300.0,23.0,426.0,231.0,25.0,501.0,159.0,27.0,538.0,123.0,30.0,567.0,95.0,31.0,595.0,67.0,31.0,616.0,47.0,32.0,626.0,36.0,33.0,633.0,28.0,33.0,642.0,19.0,33.0,648.0,13.0,33.0,651.0,10.0,33.0,652.0,9.0,34.0,653.0,7.0,34.0,655.0,5.0,34.0,657.0,3.0,34.0,657.0,3.0,34.0,657.0,3.0,34.0,657.0,3.0,34.0,659.0,1.0,34.0,659.0,1.0,34.0,659.0,1.0,34.0,659.0,1.0,34.0,660.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Quasi Sconfitta,,,,,,,,,,,,,,,,,,
Rodrik-Sparr,1,29,46,657,897,0,0,1,0,0,1,0,0,2,0,0,10,0.0,0.0,34.0,0.0,2.0,98.0,0.0,4.0,248.0,2.0,9.0,412.0,3.0,31.0,516.0,10.0,92.0,513.0,15.0,178.0,456.0,24.0,269.0,374.0,27.0,369.0,286.0,29.0,441.0,222.0,34.0,496.0,166.0,36.0,544.0,118.0,40.0,572.0,89.0,44.0,600.0,58.0,45.0,612.0,45.0,46.0,626.0,31.0,46.0,629.0,28.0,46.0,634.0,23.0,46.0,640.0,17.0,46.0,645.0,12.0,46.0,650.0,7.0,46.0,652.0,5.0,46.0,652.0,5.0,46.0,655.0,2.0,46.0,656.0,1.0,46.0,657.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Arginata con Perdite,,,,,,,,,,,,,,,,,,
Rodrik-Sparr,2,3,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Controllata,,,,,,,,,,,,,,,,,,
Mord,1,33,37,652,879,0,0,1,0,0,1,0,0,1,0,0,2,0.0,0.0,32.0,0.0,1.0,105.0,0.0,1.0,249.0,1.0,15.0,406.0,3.0,42.0,500.0,10.0,105.0,490.0,12.0,193.0,435.0,16.0,299.0,342.0,19.0,375.0,275.0,25.0,436.0,215.0,26.0,503.0,152.0,29.0,544.0,109.0,31.0,574.0,80.0,32.0,596.0,58.0,32.0,612.0,43.0,35.0,621.0,32.0,36.0,629.0,24.0,36.0,636.0,17.0,37.0,641.0,11.0,37.0,644.0,8.0,37.0,647.0,5.0,37.0,648.0,4.0,37.0,649.0,3.0,37.0,650.0,2.0,37.0,651.0,1.0,37.0,651.0,1.0,37.0,651.0,1.0,37.0,651.0,1.0,37.0,651.0,1.0,37.0,652.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Quasi Sconfitta,,,,,,,,,,,,,,,,,,
Mord,2,4,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Controllata,,,,,,,,,,,,,,,,,,
Morgo,1,6,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Controllata,,,,,,,,,,,,,,,,,,
Morgo,2,31,47,660,913,0,0,1,0,0,1,0,0,2,0,0,22,0.0,0.0,112.0,0.0,0.0,272.0,1.0,6.0,435.0,5.0,35.0,509.0,10.0,94.0,516.0,19.0,179.0,458.0,24.0,281.0,374.0,30.0,368.0,293.0,33.0,445.0,223.0,36.0,502.0,167.0,39.0,555.0,111.0,41.0,592.0,72.0,43.0,614.0,48.0,43.0,628.0,35.0,44.0,638.0,25.0,44.0,649.0,14.0,44.0,652.0,11.0,44.0,654.0,9.0,46.0,656.0,5.0,46.0,659.0,2.0,46.0,659.0,2.0,46.0,660.0,1.0,46.0,660.0,1.0,46.0,660.0,1.0,46.0,660.0,1.0,46.0,660.0,1.0,46.0,660.0,1.0,47.0,660.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Arginata con Perdite,,,,,,,,,,,,,,,,,,
Munda,1,28,58,661,917,0,0,1,0,0,1,0,0,1,0,1,1,0.0,1.0,4.0,0.0,1.0,9.0,0.0,1.0,42.0,0.0,1.0,192.0,1.0,2.0,374.0,1.0,15.0,490.0,5.0,65.0,533.0,19.0,153.0,488.0,30.0,251.0,402.0,38.0,347.0,312.0,42.0,425.0,235.0,47.0,492.0,170.0,52.0,535.0,126.0,53.0,563.0,100.0,53.0,593.0,72.0,54.0,615.0,50.0,56.0,626.0,37.0,57.0,636.0,26.0,57.0,645.0,17.0,57.0,649.0,13.0,57.0,654.0,8.0,58.0,655.0,6.0,58.0,657.0,4.0,58.0,660.0,1.0,58.0,661.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Arginata con Perdite,,,,,,,,,,,,,,,,,,
Munda,2,31,43,657,915,0,0,1,0,0,2,0,0,6,0,0,8,0.0,0.0,31.0,0.0,3.0,101.0,0.0,5.0,228.0,1.0,16.0,370.0,4.0,44.0,451.0,9.0,110.0,458.0,13.0,199.0,406.0,18.0,278.0,361.0,26.0,359.0,286.0,31.0,419.0,233.0,35.0,486.0,167.0,37.0,533.0,124.0,39.0,564.0,92.0,41.0,588.0,67.0,42.0,603.0,52.0,42.0,619.0,37.0,42.0,629.0,28.0,42.0,638.0,20.0,42.0,642.0,16.0,43.0,646.0,11.0,43.0,648.0,9.0,43.0,650.0,7.0,43.0,654.0,3.0,43.0,655.0,2.0,43.0,656.0,1.0,43.0,656.0,1.0,43.0,656.0,1.0,43.0,657.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Arginata con Perdite,,,,,,,,,,,,,,,,,,
Myranda-Royce,1,28,46,652,893,0,0,1,0,0,1,0,0,3,0,1,19,0.0,1.0,115.0,0.0,1.0,294.0,0.0,6.0,439.0,2.0,38.0,506.0,7.0,118.0,477.0,13.0,212.0,411.0,27.0,313.0,316.0,31.0,375.0,266.0,34.0,440.0,210.0,36.0,494.0,161.0,38.0,534.0,120.0,41.0,572.0,81.0,42.0,592.0,62.0,43.0,605.0,48.0,43.0,618.0,35.0,43.0,630.0,24.0,44.0,636.0,17.0,45.0,640.0,13.0,46.0,641.0,11.0,46.0,643.0,9.0,46.0,647.0,5.0,46.0,648.0,4.0,46.0,648.0,4.0,46.0,651.0,1.0,46.0,652.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Arginata con Perdite,,,,,,,,,,,,,,,,,,
Myranda-Royce,2,28,48,647,907,0,0,1,0,0,1,0,0,1,0,0,2,0.0,0.0,13.0,0.0,1.0,68.0,0.0,2.0,207.0,0.0,5.0,389.0,1.0,22.0,498.0,6.0,71.0,526.0,14.0,164.0,461.0,20.0,281.0,360.0,28.0,373.0,280.0,35.0,452.0,202.0,36.0,499.0,154.0,42.0,543.0,106.0,44.0,581.0,67.0,44.0,599.0,50.0,47.0,616.0,31.0,48.0,629.0,18.0,48.0,634.0,13.0,48.0,637.0,10.0,48.0,641.0,6.0,48.0,643.0,4.0,48.0,643.0,4.0,48.0,644.0,3.0,48.0,645.0,2.0,48.0,646.0,1.0,48.0,647.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Arginata con Perdite,,,,,,,,,,,,,,,,,,
Trystane-Martell,1,30,54,656,902,0,0,1,0,0,2,0,0,7,0,1,23,0.0,2.0,91.0,0.0,3.0,248.0,0.0,12.0,409.0,5.0,35.0,505.0,11.0,80.0,524.0,21.0,180.0,461.0,28.0,283.0,369.0,33.0,363.0,293.0,40.0,447.0,207.0,41.0,502.0,156.0,48.0,544.0,111.0,49.0,579.0,79.0,50.0,598.0,60.0,52.0,612.0,46.0,53.0,627.0,30.0,53.0,635.0,22.0,53.0,642.0,15.0,53.0,644.0,13.0,53.0,648.0,9.0,53.0,651.0,6.0,53.0,654.0,3.0,53.0,654.0,3.0,54.0,654.0,2.0,54.0,654.0,2.0,54.0,655.0,1.0,54.0,655.0,1.0,54.0,656.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Arginata con Perdite,,,,,,,,,,,,,,,,,,
Trystane-Martell,2,30,50,654,877,0,0,1,0,0,1,0,0,1,0,0,1,0.0,0.0,3.0,0.0,0.0,11.0,0.0,0.0,85.0,0.0,1.0,270.0,0.0,3.0,451.0,3.0,27.0,540.0,6.0,90.0,530.0,12.0,199.0,448.0,22.0,299.0,356.0,30.0,391.0,269.0,38.0,464.0,193.0,39.0,523.0,135.0,43.0,565.0,94.0,47.0,588.0,67.0,48.0,607.0,48.0,48.0,626.0,30.0,48.0,633.0,23.0,48.0,640.0,16.0,49.0,648.0,7.0,49.0,650.0,5.0,49.0,650.0,5.0,49.0,652.0,3.0,50.0,652.0,2.0,50.0,652.0,2.0,50.0,653.0,1.0,50.0,653.0,1.0,50.0,654.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Arginata con Perdite,,,,,,,,,,,,,,,,,,
Nage,1,36,42,672,894,0,0,1,0,0,1,0,0,1,0,0,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,8.0,0.0,0.0,35.0,0.0,1.0,142.0,0.0,4.0,320.0,0.0,9.0,489.0,1.0,51.0,530.0,6.0,123.0,512.0,14.0,223.0,434.0,20.0,332.0,335.0,20.0,420.0,256.0,30.0,473.0,199.0,33.0,536.0,141.0,35.0,577.0,98.0,39.0,598.0,75.0,39.0,616.0,57.0,39.0,634.0,39.0,40.0,646.0,26.0,40.0,654.0,19.0,40.0,657.0,16.0,40.0,661.0,12.0,41.0,665.0,7.0,41.0,666.0,6.0,41.0,666.0,6.0,41.0,669.0,4.0,41.0,670.0,3.0,41.0,670.0,3.0,41.0,670.0,3.0,41.0,671.0,2.0,42.0,672.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Arginata con Perdite,,,,,,,,,,,,,,,,,,
Nage,2,30,51,652,915,0,0,1,0,0,1,0,0,2,0,0,4,0.0,0.0,18.0,0.0,0.0,63.0,0.0,2.0,204.0,4.0,5.0,359.0,6.0,22.0,483.0,10.0,81.0,491.0,11.0,154.0,470.0,20.0,255.0,391.0,26.0,357.0,294.0,30.0,425.0,232.0,37.0,492.0,164.0,45.0,529.0,123.0,45.0,559.0,96.0,47.0,585.0,69.0,49.0,601.0,53.0,49.0,624.0,30.0,50.0,634.0,19.0,50.0,640.0,13.0,50.0,645.0,8.0,50.0,648.0,5.0,50.0,651.0,2.0,50.0,651.0,2.0,50.0,651.0,2.0,50.0,651.0,2.0,50.0,651.0,2.0,50.0,652.0,1.0,51.0,652.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Arginata con Perdite,,,,,,,,,,,,,,,,,,
Yezzan-zo-Qaggaz,1,42,44,652,890,0,0,1,0,0,2,0,0,3,0,1,4,0.0,2.0,38.0,0.0,3.0,187.0,0.0,3.0,367.0,1.0,11.0,478.0,5.0,63.0,513.0,11.0,152.0,476.0,14.0,254.0,393.0,18.0,354.0,300.0,20.0,430.0,235.0,23.0,494.0,172.0,29.0,538.0,124.0,33.0,571.0,88.0,39.0,592.0,63.0,42.0,607.0,46.0,42.0,618.0,35.0,42.0,628.0,26.0,43.0,636.0,17.0,43.0,641.0,12.0,44.0,647.0,5.0,44.0,647.0,5.0,44.0,647.0,5.0,44.0,649.0,3.0,44.0,649.0,3.0,44.0,650.0,2.0,44.0,650.0,2.0,44.0,650.0,2.0,44.0,650.0,2.0,44.0,650.0,2.0,44.0,650.0,2.0,44.0,651.0,1.0,44.0,651.0,1.0,44.0,651.0,1.0,44.0,651.0,1.0,44.0,651.0,1.0,44.0,651.0,1.0,44.0,651.0,1.0,44.0,651.0,1.0,44.0,651.0,1.0,44.0,652.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Epidemia Arginata con Perdite,,,,,,,,,,,,,,,,,,
